#Wyoming Montmorillonite - subtractive K-K analysis of imaginary
#index data from Roush 2005, Icarus 179, 259-264 (0.66-25 microns)
#and Egan & Hilgeman 1979, Optical Properties of Inhomogeneous
#Materials: Applications to Geology, Astronomy, Chemistry, and
#Engineering, Academic Press, San Diego, CA, 235 pp.
#(0.18-0.56 microns), to determine the real index.  The
#subtractive K-K analysis assumed n=1.405 at 0.589 microns.
#      wavelength       frequency          real       imaginary
#       (microns)        (cm-1)           index        index
       9.1239996       1096.0110      0.66712999      0.84100002
       9.1580000       1091.9410      0.62559003      0.93099999
       9.1910000       1088.0210      0.64297003       1.0310000
       9.2250004       1084.0110      0.64244998       1.1390001
       9.2589998       1080.0300      0.68734998       1.2530000
       9.2939997       1075.9630      0.70718002       1.3720000
       9.3280001       1072.0410      0.80624002       1.4940000
       9.3629999       1068.0341      0.90473002       1.6170000
       9.3990002       1063.9430      0.99956000       1.7350000
       9.4340000       1059.9960       1.1976300       1.8360000
       9.4700003       1055.9659       1.3741400       1.8980000
       9.5059996       1051.9670       1.5876200       1.8950000
       9.5419998       1047.9980       1.7839299       1.8150001
       9.5780001       1044.0590       1.9505399       1.6790000
       9.6149998       1040.0420       2.0475800       1.5380000
       9.6529999       1035.9470       2.0841999       1.4320000
       9.6899996       1031.9919       2.1730101       1.3660001
       9.7279997       1027.9611       2.2374599       1.3090000
       9.7659998       1023.9610       2.3307600       1.2210000
       9.8039999       1019.9920       2.4098799       1.0840000
       9.8420000       1016.0540       2.4602399      0.91900003
       9.8809996       1012.0430       2.4597900      0.75900000
       9.9209995       1007.9630       2.4192100      0.62300003
       9.9600000       1004.0160       2.3861001      0.51400000
       10.000000       1000.0000       2.3272700      0.43000001
       10.040000       996.01599       2.2767200      0.36399999
       10.081000       991.96503       2.2167799      0.31299999
       10.121000       988.04498       2.1755600      0.27200001
       10.163000       983.96100       2.1199901      0.23999999
       10.204000       980.00800       2.0812500      0.21400000
       10.246000       975.99103       2.0381601      0.19300000
       10.288000       972.00598       2.0021000      0.17600001
       10.331000       967.96100       1.9631500      0.16200000
       10.373000       964.04102       1.9345500      0.15099999
       10.417000       959.96899       1.8981800      0.14200000
       10.460000       956.02301       1.8707200      0.13600001
       10.504000       952.01801       1.8415900      0.13200000
       10.549000       947.95697       1.8105400      0.13000000
       10.593000       944.02002       1.7857300      0.13300000
       10.638000       940.02600       1.7598200      0.13900000
       10.684000       935.97900       1.7348100      0.15200000
       10.730000       931.96600       1.7170200      0.17400001
       10.776000       927.98798       1.7128600      0.20400000
       10.823000       923.95801       1.7229500      0.23400000
       10.870000       919.96301       1.7480800      0.24200000
       10.917000       916.00299       1.7710100      0.21799999
       10.965000       911.99298       1.7741300      0.18300000
       11.013000       908.01801       1.7661000      0.15500000
       11.062000       903.99597       1.7477200      0.13600001
       11.111000       900.00897       1.7294800      0.12800001
       11.161000       895.97699       1.7109100      0.12800001
       11.211000       891.98102       1.6983700      0.13500001
       11.261000       888.02100       1.6948200      0.14500000
       11.312000       884.01703       1.6983200      0.15000001
       11.364000       879.97198       1.7028400      0.14100000
       11.416000       875.96399       1.7026600      0.12300000
       11.468000       871.99200       1.6958801      0.10600000
       11.521000       867.97998       1.6824800     0.093000002
       11.574000       864.00598       1.6682400     0.086000003
       11.628000       859.99298       1.6533700     0.086000003
       11.682000       856.01801       1.6452700     0.093000002
       11.737000       852.00598       1.6446000     0.098999999
       11.792000       848.03302       1.6460201     0.086000003
       11.848000       844.02399       1.6387100     0.070000000
       11.905000       839.98297       1.6258700     0.059999999
       11.962000       835.98102       1.6122600     0.054000001
       12.019000       832.01599       1.5991000     0.050999999
       12.077000       828.02002       1.5863400     0.050000001
       12.136000       823.99500       1.5736300     0.048999999
       12.195000       820.00800       1.5620100     0.050000001
       12.255000       815.99298       1.5499099     0.050999999
       12.315000       812.01801       1.5386300     0.054000001
       12.376000       808.01599       1.5276600     0.059000000
       12.438000       803.98798       1.5178699     0.067000002
       12.500000       800.00000       1.5123800     0.078000002
       12.563000       795.98798       1.5126500     0.092000000
       12.626000       792.01599       1.5202399     0.097000003
       12.690000       788.02197       1.5263500     0.089000002
       12.755000       784.00598       1.5258100     0.075000003
       12.821000       779.96997       1.5187500     0.064000003
       12.887000       775.97601       1.5094100     0.057000000
       12.953000       772.02197       1.4995700     0.052000001
       13.021000       767.98999       1.4883000     0.050000001
       13.089000       764.00000       1.4783300     0.048000000
       13.158000       759.99402       1.4678400     0.046999998
       13.228000       755.97198       1.4572700     0.046999998
       13.298000       751.99298       1.4473701     0.046999998
       13.369000       747.99902       1.4372700     0.048000000
       13.441000       743.99200       1.4274300     0.048999999
       13.514000       739.97302       1.4172300     0.050000001
       13.587000       735.99799       1.4072800     0.050999999
       13.661000       732.01099       1.3968700     0.052999999
       13.736000       728.01398       1.3864800     0.055000000
       13.812000       724.00800       1.3756500     0.057000000
       13.889000       719.99402       1.3640300     0.059999999
       13.966000       716.02502       1.3534800     0.064000003
       14.045000       711.99701       1.3411800     0.068000004
       14.124000       708.01501       1.3307400     0.075000003
       14.205000       703.97699       1.3204600     0.082999997
       14.286000       699.98602       1.3145000     0.092000000
       14.368000       695.99103       1.3088100     0.093000002
       14.451000       691.99402       1.2993100     0.090999998
       14.535000       687.99402       1.2865400     0.092000000
       14.620000       683.99500       1.2724200     0.094999999
       14.706000       679.99500       1.2577000      0.10000000
       14.793000       675.99500       1.2426500      0.10600000
       14.881000       671.99799       1.2270200      0.11300000
       14.970000       668.00299       1.2111700      0.12200000
       15.060000       664.01099       1.1955600      0.13100000
       15.152000       659.97900       1.1773100      0.14200000
       15.244000       655.99597       1.1607500      0.15500000
