Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  Data are for measurments parallel to the b
crystallographic axis.  These could be recalculated at any spectral 
resolution.  Range of validity is given as 1500-320 inverse centimeters.

high frq. dielec. const=  2.553
Lorentz line parameters
center  width  strength
1067.2  0.0182  0.0110
1015.6  0.0234  0.1680
 987.6  0.0311  0.3250
 908.7  0.0190  0.0170
 744.2  0.0853  0.0730
 559.3  0.1919  0.2360
 527.6  0.0593  0.7110
 470.1  0.0527  0.4040
 409.7  0.0759  0.6970
 353.5  0.0553  0.0680

 wave.    freq.   calc.       real       imag.
micron    (cm-1)  refl.       index     index
 7.5415  1326.0  0.0110       1.234     0.01898
 7.5301  1328.0  0.0112       1.236     0.01874
 7.5188  1330.0  0.0114       1.238     0.01852
 7.5075  1332.0  0.0116       1.241     0.01829
 7.4963  1334.0  0.0118       1.243     0.01807
 7.4850  1336.0  0.0120       1.245     0.01786
 7.4738  1338.0  0.0122       1.248     0.01765
 7.4627  1340.0  0.0124       1.250     0.01744
 7.4516  1342.0  0.0126       1.252     0.01724
 7.4405  1344.0  0.0128       1.254     0.01704
 7.4294  1346.0  0.0130       1.256     0.01684
 7.4184  1348.0  0.0132       1.259     0.01665
 7.4074  1350.0  0.0133       1.261     0.01646
 7.3964  1352.0  0.0135       1.263     0.01628
 7.3855  1354.0  0.0137       1.265     0.01609
 7.3746  1356.0  0.0139       1.267     0.01592
 7.3638  1358.0  0.0141       1.269     0.01574
 7.3529  1360.0  0.0143       1.271     0.01557
 7.3421  1362.0  0.0144       1.273     0.01540
 7.3314  1364.0  0.0146       1.275     0.01523
 7.3206  1366.0  0.0148       1.277     0.01507
 7.3099  1368.0  0.0150       1.278     0.01491
 7.2993  1370.0  0.0152       1.280     0.01475
 7.2886  1372.0  0.0153       1.282     0.01459
 7.2780  1374.0  0.0155       1.284     0.01444
 7.2674  1376.0  0.0157       1.286     0.01429
 7.2569  1378.0  0.0158       1.288     0.01414
