From Rouleau and Martin, Astrophys. J., 377, 526-540, 1991.
Sample:  BE1
  Wavelength     Wave        real     imaginary
  (microns)     Number      index       index   
  1.9515E-03  5.1242E+06  9.9900E-01  2.1310E-04
  1.8439E-03  5.4234E+06  9.9910E-01  1.7210E-04
  1.7418E-03  5.7411E+06  9.9920E-01  1.4200E-04
  1.6454E-03  6.0774E+06  9.9930E-01  1.1490E-04
  1.5545E-03  6.4331E+06  9.9940E-01  9.2550E-05
  1.4685E-03  6.8097E+06  9.9940E-01  7.4980E-05
  1.3873E-03  7.2081E+06  1.0000E+00  6.0480E-05
  1.3106E-03  7.6298E+06  1.0000E+00  4.8830E-05
  1.2388E-03  8.0726E+06  1.0000E+00  3.9500E-05
  1.1698E-03  8.5484E+06  1.0000E+00  3.1710E-05
  1.1052E-03  9.0484E+06  1.0000E+00  2.5600E-05
  1.0438E-03  9.5806E+06  1.0000E+00  2.0630E-05
  9.8648E-04  1.0137E+07  1.0000E+00  1.6490E-05
  9.3163E-04  1.0734E+07  1.0000E+00  1.3210E-05
  8.8006E-04  1.1363E+07  1.0000E+00  1.0620E-05
  8.3166E-04  1.2024E+07  1.0000E+00  8.5330E-06
  7.8580E-04  1.2726E+07  1.0000E+00  6.8390E-06
  7.4207E-04  1.3476E+07  1.0000E+00  5.4790E-06
  7.0096E-04  1.4266E+07  1.0000E+00  4.3840E-06
  6.6239E-04  1.5097E+07  1.0000E+00  3.5030E-06
  6.2563E-04  1.5984E+07  1.0000E+00  2.7990E-06
  5.9104E-04  1.6919E+07  1.0000E+00  2.2350E-06
  5.5831E-04  1.7911E+07  1.0000E+00  1.7900E-06
  5.2766E-04  1.8952E+07  1.0000E+00  1.4260E-06
  4.9839E-04  2.0065E+07  1.0000E+00  1.1350E-06
  4.7077E-04  2.1242E+07  1.0000E+00  9.0460E-07
  4.4476E-04  2.2484E+07  1.0000E+00  7.2170E-07
  4.2020E-04  2.3798E+07  1.0000E+00  5.7560E-07
  3.9693E-04  2.5194E+07  1.0000E+00  4.5870E-07
  3.7508E-04  2.6661E+07  1.0000E+00  3.6500E-07
  3.5429E-04  2.8226E+07  1.0000E+00  2.8990E-07
