Estimated optical constants of the Tagish Lake meteorite, from Roush,
Meteoritics and Planetary Science, v. 38, no. 3, 419-426, 2003.
  Wavelength Frequency  real     imaginary
  (microns)    (cm-1)   index      index
   10.8682    920.12   1.69707  2.0300E-02
   10.8455    922.04   1.69706  2.0419E-02
   10.8228    923.98   1.69710  2.0562E-02
   10.8003    925.90   1.69699  2.0613E-02
   10.7778    927.83   1.69707  2.0610E-02
   10.7555    929.76   1.69702  2.0711E-02
   10.7332    931.69   1.69705  2.0803E-02
   10.7110    933.62   1.69705  2.0839E-02
   10.6889    935.55   1.69705  2.0956E-02
   10.6669    937.48   1.69702  2.1064E-02
   10.6450    939.41   1.69698  2.1130E-02
   10.6232    941.34   1.69695  2.1196E-02
   10.6015    943.26   1.69692  2.1246E-02
   10.5799    945.19   1.69687  2.1279E-02
   10.5583    947.12   1.69695  2.1338E-02
   10.5369    949.05   1.69689  2.1412E-02
   10.5155    950.98   1.69693  2.1555E-02
   10.4942    952.91   1.69688  2.1721E-02
   10.4730    954.84   1.69682  2.1808E-02
   10.4519    956.76   1.69676  2.1961E-02
   10.4309    958.69   1.69660  2.2155E-02
   10.4099    960.62   1.69645  2.2272E-02
   10.3890    962.56   1.69632  2.2248E-02
   10.3683    964.48   1.69616  2.2197E-02
   10.3476    966.41   1.69613  2.2256E-02
   10.3270    968.34   1.69600  2.2308E-02
   10.3064    970.27   1.69599  2.2341E-02
   10.2860    972.20   1.69581  2.2406E-02
   10.2656    974.13   1.69573  2.2501E-02
   10.2453    976.06   1.69555  2.2561E-02
   10.2251    977.99   1.69539  2.2487E-02
   10.2050    979.91   1.69524  2.2414E-02
   10.1849    981.85   1.69524  2.2420E-02
   10.1650    983.77   1.69504  2.2388E-02
   10.1451    985.70   1.69501  2.2311E-02
   10.1253    987.63   1.69492  2.2250E-02
   10.1055    989.56   1.69496  2.2294E-02
   10.0859    991.48   1.69478  2.2333E-02
   10.0663    993.41   1.69471  2.2333E-02
   10.0468    995.34   1.69456  2.2269E-02
   10.0273    997.28   1.69457  2.2216E-02
   10.0080    999.20   1.69442  2.2153E-02
