Data created using the Lorantz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 4000-332 inverse centimeters.

high frq. dielec. const=  2.262
Lorentz line parameters
center  width  strength
 975.0  0.1439  0.7980
 750.0  0.0829  0.0630
 672.0  0.1170  0.0850
 444.6  0.1938  1.4310

 wave.    freq.   refl.       real       imag.
 8.2645  1210.0  0.0293      0.8415      0.2765
 8.2508  1212.0  0.0278      0.8466      0.2707
 8.2372  1214.0  0.0264      0.8516      0.2651
 8.2237  1216.0  0.0250      0.8566      0.2597
 8.2102  1218.0  0.0238      0.8616      0.2544
 8.1967  1220.0  0.0225      0.8665      0.2492
 8.1833  1222.0  0.0214      0.8714      0.2442
 8.1699  1224.0  0.0203      0.8763      0.2394
 8.1566  1226.0  0.0193      0.8811      0.2347
 8.1433  1228.0  0.0183      0.8859      0.2301
 8.1301  1230.0  0.0173      0.8907      0.2256
 8.1169  1232.0  0.0165      0.8954      0.2213
 8.1037  1234.0  0.0156      0.9001      0.2171
 8.0906  1236.0  0.0148      0.9047      0.2130
 8.0775  1238.0  0.0141      0.9093      0.2090
 8.0645  1240.0  0.0134      0.9138      0.2051
 8.0515  1242.0  0.0127      0.9183      0.2013
 8.0386  1244.0  0.0121      0.9228      0.1976
 8.0257  1246.0  0.0115      0.9272      0.1941
 8.0128  1248.0  0.0109      0.9316      0.1906
 8.0000  1250.0  0.0104      0.9359      0.1872
 7.9872  1252.0  0.0098      0.9402      0.1839
 7.9745  1254.0  0.0094      0.9444      0.1807
 7.9618  1256.0  0.0089      0.9486      0.1776
 7.9491  1258.0  0.0085      0.9527      0.1745
 7.9365  1260.0  0.0081      0.9568      0.1715
 7.9239  1262.0  0.0077      0.9609      0.1686
 7.9114  1264.0  0.0074      0.9649      0.1658
 7.8989  1266.0  0.0071      0.9688      0.1630
 7.8864  1268.0  0.0068      0.9727      0.1604
 7.8740  1270.0  0.0065      0.9766      0.1577
 7.8616  1272.0  0.0062      0.9804      0.1552
 7.8493  1274.0  0.0059      0.9842      0.1527
 7.8370  1276.0  0.0057      0.9879      0.1502
 7.8247  1278.0  0.0055      0.9916      0.1479
 7.8125  1280.0  0.0053      0.9953      0.1455
 7.8003  1282.0  0.0051      0.9989      0.1433
 7.7882  1284.0  0.0049       1.002      0.1411
 7.7760  1286.0  0.0048       1.006      0.1389
 7.7640  1288.0  0.0046       1.009      0.1368
 7.7519  1290.0  0.0045       1.013      0.1347
 7.7399  1292.0  0.0044       1.016      0.1327
 7.7280  1294.0  0.0043       1.020      0.1307
 7.7160  1296.0  0.0042       1.023      0.1288
 7.7042  1298.0  0.0041       1.026      0.1269
 7.6923  1300.0  0.0040       1.030      0.1251
 7.6805  1302.0  0.0039       1.033      0.1233
 7.6687  1304.0  0.0039       1.036      0.1215
 7.6570  1306.0  0.0038       1.039      0.1198
 7.6453  1308.0  0.0038       1.042      0.1181
 7.6336  1310.0  0.0037       1.045      0.1164
 7.6220  1312.0  0.0037       1.048      0.1148
 7.6104  1314.0  0.0037       1.051      0.1132
 7.5988  1316.0  0.0036       1.054      0.1117
 7.5873  1318.0  0.0036       1.057      0.1101
 7.5758  1320.0  0.0036       1.060      0.1086
 7.5643  1322.0  0.0036       1.063      0.1072
 7.5529  1324.0  0.0036       1.066      0.1057
 7.5415  1326.0  0.0036       1.069      0.1043
 7.5301  1328.0  0.0037       1.071      0.1030
 7.5188  1330.0  0.0037       1.074      0.1016
 7.5075  1332.0  0.0037       1.077      0.1003
 7.4963  1334.0  0.0037       1.080     0.09901
 7.4850  1336.0  0.0038       1.082     0.09774
 7.4738  1338.0  0.0038       1.085     0.09650
 7.4627  1340.0  0.0038       1.087     0.09527
 7.4516  1342.0  0.0039       1.090     0.09408
 7.4405  1344.0  0.0039       1.093     0.09290
 7.4294  1346.0  0.0040       1.095     0.09175
 7.4184  1348.0  0.0040       1.098     0.09061
 7.4074  1350.0  0.0041       1.100     0.08950
 7.3964  1352.0  0.0041       1.102     0.08841
 7.3855  1354.0  0.0042       1.105     0.08734
 7.3746  1356.0  0.0043       1.107     0.08629
 7.3638  1358.0  0.0043       1.110     0.08526
 7.3529  1360.0  0.0044       1.112     0.08425
 7.3421  1362.0  0.0045       1.114     0.08325
 7.3314  1364.0  0.0045       1.117     0.08227
 7.3206  1366.0  0.0046       1.119     0.08131
 7.3099  1368.0  0.0047       1.121     0.08037
 7.2993  1370.0  0.0048       1.123     0.07944
 7.2886  1372.0  0.0048       1.126     0.07853
 7.2780  1374.0  0.0049       1.128     0.07763
 7.2674  1376.0  0.0050       1.130     0.07675
 7.2569  1378.0  0.0051       1.132     0.07589
 7.2464  1380.0  0.0052       1.134     0.07504
 7.2359  1382.0  0.0053       1.136     0.07420
 7.2254  1384.0  0.0054       1.138     0.07338
 7.2150  1386.0  0.0054       1.140     0.07257
 7.2046  1388.0  0.0055       1.142     0.07177
 7.1942  1390.0  0.0056       1.144     0.07099
 7.1839  1392.0  0.0057       1.146     0.07022
 7.1736  1394.0  0.0058       1.148     0.06946
 7.1633  1396.0  0.0059       1.150     0.06872
 7.1531  1398.0  0.0060       1.152     0.06799
 7.1429  1400.0  0.0061       1.154     0.06727
 7.1327  1402.0  0.0062       1.156     0.06656
 7.1225  1404.0  0.0063       1.158     0.06586
 7.1124  1406.0  0.0064       1.160     0.06517
 7.1023  1408.0  0.0065       1.162     0.06449
 7.0922  1410.0  0.0066       1.163     0.06383
 7.0822  1412.0  0.0067       1.165     0.06317
 7.0721  1414.0  0.0068       1.167     0.06252
 7.0621  1416.0  0.0069       1.169     0.06189
 7.0522  1418.0  0.0070       1.171     0.06126
 7.0423  1420.0  0.0071       1.172     0.06064
 7.0323  1422.0  0.0072       1.174     0.06004
 7.0225  1424.0  0.0073       1.176     0.05944
 7.0126  1426.0  0.0074       1.177     0.05885
 7.0028  1428.0  0.0075       1.179     0.05827
 6.9930  1430.0  0.0076       1.181     0.05770
 6.9832  1432.0  0.0077       1.183     0.05713
