Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1700-230 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  3.236
Lorentz line parameters
center  width  strength
1536.4  0.0559  0.0520
1077.2  0.0324  0.1510
1006.8  0.0326  0.0320
 951.3  0.0386  0.1130
 904.5  0.0532  0.5450
 755.9  0.0956  0.0800
 634.8  0.0469  0.0660
 542.1  0.0814  0.2690
 507.3  0.0441  0.3450
 480.0  0.0599  0.4390
 433.6  0.0236  0.0390
 401.5  0.0875  0.7540
 333.1  0.0579  0.5840
 297.9  0.1063  0.5720
 186.3  0.3096  6.1260

 wave.    freq.   calc.        real       imag.
(micron)  (cm-1)  refl.       index       index
14.2857   700.0  0.0789       1.748      0.1969
14.2450   702.0  0.0809       1.763      0.1978
14.2045   704.0  0.0830       1.777      0.1992
14.1643   706.0  0.0850       1.791      0.2009
14.1243   708.0  0.0871       1.804      0.2031
14.0845   710.0  0.0891       1.818      0.2057
14.0449   712.0  0.0911       1.831      0.2086
14.0056   714.0  0.0930       1.843      0.2120
13.9665   716.0  0.0950       1.856      0.2159
13.9276   718.0  0.0969       1.868      0.2201
13.8889   720.0  0.0987       1.879      0.2248
13.8504   722.0  0.1006       1.890      0.2299
13.8122   724.0  0.1024       1.901      0.2354
13.7741   726.0  0.1041       1.911      0.2413
13.7363   728.0  0.1058       1.921      0.2475
13.6986   730.0  0.1074       1.930      0.2541
13.6612   732.0  0.1090       1.938      0.2610
13.6240   734.0  0.1104       1.945      0.2681
13.5870   736.0  0.1118       1.952      0.2754
13.5501   738.0  0.1130       1.958      0.2827
13.5135   740.0  0.1141       1.963      0.2900
13.4771   742.0  0.1150       1.967      0.2970
13.4409   744.0  0.1159       1.970      0.3037
13.4048   746.0  0.1165       1.972      0.3099
13.3690   748.0  0.1170       1.973      0.3154
13.3333   750.0  0.1174       1.973      0.3200
13.2979   752.0  0.1176       1.973      0.3237
13.2626   754.0  0.1177       1.973      0.3263
13.2275   756.0  0.1177       1.972      0.3277
13.1926   758.0  0.1176       1.971      0.3280
13.1579   760.0  0.1174       1.970      0.3270
13.1234   762.0  0.1173       1.970      0.3250
13.0890   764.0  0.1171       1.971      0.3219
13.0548   766.0  0.1170       1.972      0.3179
