alpha-SiO2 extraordinary ray from Handbook of optical constants of 
solids, edited by E.D. Palik (1985) Academic Press.  Values set to 
-1.e+32 where data is not provided.  Values between 4.99 and 32.001
microns come from application of dispersion calculations using the
oscillator parameters from Spitzer and Kleinman, Phys. Rev., 121, 1324,
1961.  Data beyond 32.001 microns is from the Palik reference.
Wavel.    real imag.
microns  index index
--------------------
   9.426   4.5359    3.9401E-01
   9.443   4.3545    3.4076E-01
   9.460   4.1956    2.9821E-01
   9.478   4.0550    2.6361E-01
   9.495   3.9296    2.3505E-01
   9.512   3.8170    2.1117E-01
   9.530   3.7152    1.9096E-01
   9.547   3.6226    1.7370E-01
   9.565   3.5380    1.5882E-01
   9.582   3.4608    1.4595E-01
   9.601   3.3892    1.3463E-01
   9.618   3.3229    1.2466E-01
   9.636   3.2614    1.1583E-01
   9.654   3.2041    1.0796E-01
   9.672   3.1506    1.0092E-01
   9.690   3.1005    9.4593E-02
   9.709   3.0534    8.8881E-02
   9.727   3.0091    8.3706E-02
   9.745   2.9673    7.9001E-02
   9.763   2.9280    7.4731E-02
   9.782   2.8906    7.0802E-02
   9.800   2.8551    6.7198E-02
   9.818   2.8214    6.3882E-02
   9.838   2.7893    6.0825E-02
   9.856   2.7587    5.7998E-02
   9.875   2.7295    5.5380E-02
   9.893   2.7015    5.2950E-02
   9.913   2.6748    5.0690E-02
   9.931   2.6494    4.8594E-02
   9.950   2.6248    4.6628E-02
   9.970   2.6013    4.4790E-02
   9.989   2.5786    4.3068E-02
  10.008   2.5568    4.1455E-02
  10.027   2.5358    3.9939E-02
  10.047   2.5155    3.8515E-02
  10.066   2.4960    3.7173E-02
  10.086   2.4771    3.5909E-02
  10.106   2.4590    3.4723E-02
  10.125   2.4413    3.3596E-02
  10.145   2.4242    3.2531E-02
  10.165   2.4076    3.1523E-02
  10.185   2.3916    3.0568E-02
  10.205   2.3760    2.9663E-02
  10.225   2.3609    2.8804E-02
  10.245   2.3462    2.7989E-02
  10.266   2.3319    2.7214E-02
  10.286   2.3180    2.6478E-02
  10.307   2.3045    2.5781E-02
  10.327   2.2914    2.5113E-02
  10.348   2.2785    2.4478E-02
  10.368   2.2660    2.3873E-02
  10.389   2.2537    2.3295E-02
  10.410   2.2418    2.2745E-02
  10.431   2.2301    2.2220E-02
  10.452   2.2187    2.1719E-02
  10.473   2.2076    2.1240E-02
  10.494   2.1967    2.0786E-02
  10.516   2.1860    2.0350E-02
  10.537   2.1756    1.9933E-02
  10.558   2.1653    1.9535E-02
  10.580   2.1553    1.9155E-02
  10.602   2.1454    1.8792E-02
  10.623   2.1357    1.8446E-02
  10.645   2.1262    1.8115E-02
  10.667   2.1168    1.7799E-02
