Data created using the Lorantz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1600-250 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  1.982
Lorentz line parameters
center  width  strength
11.3122   884.0  0.2134   2.361  0.8422
11.2867   886.0  0.2171   2.367  0.8703
11.2613   888.0  0.2209   2.371  0.8994
11.2360   890.0  0.2247   2.374  0.9295
11.2108   892.0  0.2285   2.376  0.9605
11.1857   894.0  0.2324   2.375  0.9923
11.1607   896.0  0.2362   2.373   1.025
11.1359   898.0  0.2401   2.369   1.058
11.1111   900.0  0.2439   2.363   1.092
11.0865   902.0  0.2477   2.354   1.125
11.0619   904.0  0.2514   2.344   1.159
11.0375   906.0  0.2551   2.331   1.192
11.0132   908.0  0.2586   2.315   1.225
10.9890   910.0  0.2621   2.297   1.257
10.9649   912.0  0.2654   2.277   1.289
10.9409   914.0  0.2686   2.255   1.318
10.9170   916.0  0.2716   2.231   1.347
10.8932   918.0  0.2745   2.204   1.373
10.8696   920.0  0.2771   2.177   1.397
10.8460   922.0  0.2795   2.147   1.420
10.8225   924.0  0.2817   2.117   1.440
10.7991   926.0  0.2836   2.086   1.457
10.7759   928.0  0.2853   2.055   1.472
10.7527   930.0  0.2867   2.023   1.485
10.7296   932.0  0.2879   1.991   1.496
10.7066   934.0  0.2888   1.960   1.504
10.6838   936.0  0.2896   1.929   1.511
10.6610   938.0  0.2901   1.899   1.515
10.6383   940.0  0.2904   1.870   1.518
10.6157   942.0  0.2906   1.842   1.520
10.5932   944.0  0.2907   1.815   1.520
10.5708   946.0  0.2906   1.790   1.519
10.5485   948.0  0.2904   1.765   1.518
10.5263   950.0  0.2903   1.742   1.516
10.5042   952.0  0.2901   1.719   1.514
10.4822   954.0  0.2899   1.698   1.512
10.4603   956.0  0.2897   1.677   1.509
10.4384   958.0  0.2896   1.657   1.507
10.4167   960.0  0.2896   1.638   1.505
10.3950   962.0  0.2896   1.619   1.502
10.3734   964.0  0.2898   1.600   1.500
10.3520   966.0  0.2900   1.582   1.499
10.3306   968.0  0.2903   1.563   1.497
10.3093   970.0  0.2907   1.544   1.495
10.2881   972.0  0.2911   1.525   1.493
10.2669   974.0  0.2916   1.506   1.491
10.2459   976.0  0.2921   1.486   1.489
