Calcite Ordinary ray calculated from values derived from Table 1 of 
Long et al., IR Physics, 34, 191, 1993.

high frequency dielectric constant=2.6250
 oscillator  frequency    gamma       stength
      1     1.0410E+02 5.8000E-02  2.7751E+00
      2     2.2330E+02 5.4000E-02  9.4000E-01
      3     2.9560E+02 4.5700E-02  1.6657E+00
      4     7.1320E+02 1.0500E-02  1.7500E-02
      5     1.4068E+03 6.0000E-03  5.5070E-01
  frequency  Reflectance real index   imag. index
 2.8680E+03  4.7361E-02  1.5563E+00   2.5590E-04
 2.8640E+03  4.7330E-02  1.5561E+00   2.5741E-04
 2.8600E+03  4.7299E-02  1.5559E+00   2.5892E-04
 2.8560E+03  4.7268E-02  1.5556E+00   2.6045E-04
 2.8520E+03  4.7236E-02  1.5554E+00   2.6199E-04
 2.8480E+03  4.7204E-02  1.5551E+00   2.6354E-04
 2.8440E+03  4.7173E-02  1.5549E+00   2.6511E-04
 2.8400E+03  4.7140E-02  1.5547E+00   2.6668E-04
 2.8360E+03  4.7108E-02  1.5544E+00   2.6828E-04
 2.8320E+03  4.7076E-02  1.5542E+00   2.6988E-04
 2.8280E+03  4.7043E-02  1.5539E+00   2.7150E-04
 2.8240E+03  4.7010E-02  1.5537E+00   2.7314E-04
 2.8200E+03  4.6977E-02  1.5534E+00   2.7479E-04
 2.8160E+03  4.6944E-02  1.5532E+00   2.7645E-04
 2.8120E+03  4.6911E-02  1.5529E+00   2.7813E-04
 2.8080E+03  4.6877E-02  1.5527E+00   2.7982E-04
 2.8040E+03  4.6843E-02  1.5524E+00   2.8153E-04
 2.8000E+03  4.6809E-02  1.5522E+00   2.8325E-04
 2.7960E+03  4.6775E-02  1.5519E+00   2.8499E-04
 2.7920E+03  4.6741E-02  1.5517E+00   2.8674E-04
 2.7880E+03  4.6706E-02  1.5514E+00   2.8851E-04
 2.7840E+03  4.6671E-02  1.5511E+00   2.9029E-04
 2.7800E+03  4.6636E-02  1.5509E+00   2.9209E-04
