Dypingite optical constants from Roush, J. 
Geophys. Res., 101, 2215-2225, 1996.
  wavelength  calc. ref.  real index  imag. index
 6.7784E+00  7.2014E-02  1.3937E+00   5.2404E-01
 6.7873E+00  6.8871E-02  1.4018E+00   5.0041E-01
 6.7962E+00  6.5738E-02  1.4053E+00   4.7802E-01
 6.8051E+00  6.2668E-02  1.4047E+00   4.5738E-01
 6.8140E+00  5.9748E-02  1.4008E+00   4.3915E-01
 6.8230E+00  5.7035E-02  1.3941E+00   4.2370E-01
 6.8320E+00  5.4583E-02  1.3851E+00   4.1128E-01
 6.8410E+00  5.2440E-02  1.3746E+00   4.0206E-01
 6.8501E+00  5.0656E-02  1.3628E+00   3.9616E-01
 6.8591E+00  4.9291E-02  1.3505E+00   3.9367E-01
 6.8682E+00  4.8394E-02  1.3379E+00   3.9465E-01
 6.8773E+00  4.8043E-02  1.3256E+00   3.9919E-01
 6.8864E+00  4.8317E-02  1.3141E+00   4.0738E-01
 6.8956E+00  4.9301E-02  1.3040E+00   4.1924E-01
 6.9048E+00  5.1078E-02  1.2960E+00   4.3477E-01
 6.9140E+00  5.3699E-02  1.2910E+00   4.5372E-01
 6.9232E+00  5.7226E-02  1.2897E+00   4.7598E-01
 6.9325E+00  6.1622E-02  1.2933E+00   5.0089E-01
 6.9417E+00  6.6782E-02  1.3027E+00   5.2754E-01
 6.9511E+00  7.2504E-02  1.3186E+00   5.5466E-01
 6.9604E+00  7.8495E-02  1.3417E+00   5.8058E-01
 6.9698E+00  8.4390E-02  1.3720E+00   6.0331E-01
 6.9791E+00  8.9779E-02  1.4087E+00   6.2067E-01
 6.9885E+00  9.4371E-02  1.4506E+00   6.3086E-01
 6.9980E+00  9.7871E-02  1.4957E+00   6.3225E-01
 7.0074E+00  1.0014E-01  1.5411E+00   6.2415E-01
 7.0169E+00  1.0115E-01  1.5842E+00   6.0683E-01
 7.0264E+00  1.0101E-01  1.6225E+00   5.8158E-01
 7.0359E+00  9.9900E-02  1.6540E+00   5.5056E-01
 7.0455E+00  9.8013E-02  1.6783E+00   5.1575E-01
 7.0551E+00  9.5572E-02  1.6952E+00   4.7951E-01
 7.0647E+00  9.2769E-02  1.7053E+00   4.4367E-01
 7.0743E+00  8.9769E-02  1.7096E+00   4.0955E-01
 7.0840E+00  8.6693E-02  1.7093E+00   3.7799E-01
 7.0937E+00  8.3635E-02  1.7053E+00   3.4943E-01
 7.1034E+00  8.0674E-02  1.6988E+00   3.2414E-01
 7.1131E+00  7.7822E-02  1.6904E+00   3.0181E-01
 7.1229E+00  7.5124E-02  1.6809E+00   2.8242E-01
 7.1327E+00  7.2596E-02  1.6707E+00   2.6576E-01
 7.1426E+00  7.0253E-02  1.6602E+00   2.5161E-01
 7.1524E+00  6.8101E-02  1.6498E+00   2.3971E-01
 7.1622E+00  6.6156E-02  1.6398E+00   2.2989E-01
 7.1722E+00  6.4404E-02  1.6303E+00   2.2180E-01
 7.1821E+00  6.2859E-02  1.6215E+00   2.1527E-01
 7.1921E+00  6.1522E-02  1.6137E+00   2.1003E-01
 7.2021E+00  6.0393E-02  1.6070E+00   2.0580E-01
 7.2121E+00  5.9463E-02  1.6014E+00   2.0226E-01
 7.2221E+00  5.8712E-02  1.5971E+00   1.9909E-01
 7.2322E+00  5.8116E-02  1.5939E+00   1.9594E-01
 7.2423E+00  5.7629E-02  1.5916E+00   1.9246E-01
 7.2524E+00  5.7207E-02  1.5900E+00   1.8842E-01
 7.2626E+00  5.6802E-02  1.5888E+00   1.8368E-01
 7.2728E+00  5.6372E-02  1.5877E+00   1.7821E-01
 7.2830E+00  5.5885E-02  1.5863E+00   1.7212E-01
 7.2932E+00  5.5329E-02  1.5844E+00   1.6563E-01
 7.3035E+00  5.4693E-02  1.5820E+00   1.5888E-01
 7.3138E+00  5.3987E-02  1.5789E+00   1.5212E-01
 7.3241E+00  5.3223E-02  1.5752E+00   1.4554E-01
 7.3345E+00  5.2417E-02  1.5711E+00   1.3927E-01
 7.3449E+00  5.1585E-02  1.5665E+00   1.3341E-01
 7.3553E+00  5.0741E-02  1.5616E+00   1.2800E-01
 7.3657E+00  4.9900E-02  1.5566E+00   1.2309E-01
 7.3762E+00  4.9065E-02  1.5515E+00   1.1862E-01
