Calcite Extraordinary ray calculated from values derived from Table 2 
of Long et al., IR Physics, 34, 191, 1993.

high frequency dielectric constant=2.1700
 oscillator  frequency    gamma       strength
      1     9.4600E+01 7.1800E-02  4.6412E+00
      2     3.0490E+02 3.4300E-02  1.3350E+00
      3     8.7080E+02 1.8000E-03  8.1700E-02
  frequency  Reflectance real index   imag. index
 3.0000E+03  3.5489E-02  1.4642E+00   2.1799E-05
 2.9960E+03  3.5486E-02  1.4642E+00   2.1889E-05
 2.9920E+03  3.5483E-02  1.4642E+00   2.1979E-05
 2.9880E+03  3.5480E-02  1.4642E+00   2.2069E-05
 2.9840E+03  3.5477E-02  1.4641E+00   2.2160E-05
 2.9800E+03  3.5474E-02  1.4641E+00   2.2251E-05
 2.9760E+03  3.5471E-02  1.4641E+00   2.2343E-05
 2.9720E+03  3.5468E-02  1.4641E+00   2.2436E-05
 2.9680E+03  3.5464E-02  1.4640E+00   2.2529E-05
 2.9640E+03  3.5461E-02  1.4640E+00   2.2622E-05
 2.9600E+03  3.5458E-02  1.4640E+00   2.2716E-05
 2.9560E+03  3.5455E-02  1.4639E+00   2.2811E-05
 2.9520E+03  3.5452E-02  1.4639E+00   2.2906E-05
 2.9480E+03  3.5449E-02  1.4639E+00   2.3002E-05
 2.9440E+03  3.5445E-02  1.4639E+00   2.3098E-05
 2.9400E+03  3.5442E-02  1.4638E+00   2.3195E-05
 2.9360E+03  3.5439E-02  1.4638E+00   2.3292E-05
 2.9320E+03  3.5436E-02  1.4638E+00   2.3390E-05
 2.9280E+03  3.5432E-02  1.4638E+00   2.3488E-05
 2.9240E+03  3.5429E-02  1.4637E+00   2.3587E-05
 2.9200E+03  3.5426E-02  1.4637E+00   2.3686E-05
 2.9160E+03  3.5422E-02  1.4637E+00   2.3786E-05
 2.9120E+03  3.5419E-02  1.4637E+00   2.3887E-05
 2.9080E+03  3.5416E-02  1.4636E+00   2.3988E-05
 2.9040E+03  3.5412E-02  1.4636E+00   2.4090E-05
 2.9000E+03  3.5409E-02  1.4636E+00   2.4192E-05
 2.8960E+03  3.5406E-02  1.4636E+00   2.4295E-05
 2.8920E+03  3.5402E-02  1.4635E+00   2.4399E-05
 2.8880E+03  3.5399E-02  1.4635E+00   2.4503E-05
 2.8840E+03  3.5395E-02  1.4635E+00   2.4608E-05
 2.8800E+03  3.5392E-02  1.4634E+00   2.4713E-05
 2.8760E+03  3.5388E-02  1.4634E+00   2.4819E-05
 2.8720E+03  3.5385E-02  1.4634E+00   2.4925E-05
 2.8680E+03  3.5381E-02  1.4634E+00   2.5032E-05
 2.8640E+03  3.5378E-02  1.4633E+00   2.5140E-05
 2.8600E+03  3.5374E-02  1.4633E+00   2.5249E-05
 2.8560E+03  3.5371E-02  1.4633E+00   2.5358E-05
 2.8520E+03  3.5367E-02  1.4632E+00   2.5467E-05
 2.8480E+03  3.5364E-02  1.4632E+00   2.5577E-05
