Olivine data from Lucey, JGR-E, E1, 1703-1714, 1998
To calculate the real index use Eqn 8c, Lucey 1998

n_olv=1.827-[0.192 * Mg#], Mg # 0-1.0

to calculate the imaginary index, use columns 2 and 3 below

k_olv(lambda) = col 2 + [Mg# * col 3], data valid for Mg # 0. to 1.0

col 1 are wavelengths in micrometers
	col 1		col 2		col 3
     0.221100 -1.13412e-05  1.35007e-06
      1.85500   0.00115779 -1.12098e-05
      1.86500   0.00112514 -1.08598e-05
      1.87500   0.00112218 -1.08057e-05
      1.88500   0.00114391 -1.09919e-05
      1.89500   0.00114592 -1.10250e-05
      1.90500   0.00114544 -1.09774e-05
      1.91500   0.00114840 -1.09443e-05
      1.92500   0.00115094 -1.10072e-05
      1.93500   0.00115686 -1.10599e-05
      1.94500   0.00115781 -1.10264e-05
      1.95500   0.00115764 -1.10189e-05
      1.96500   0.00115144 -1.09827e-05
      1.97500   0.00115110 -1.09320e-05
      1.98500   0.00114681 -1.09119e-05
      1.99500   0.00116641 -1.11090e-05
      2.00500   0.00116083 -1.10319e-05
      2.01500   0.00117411 -1.11638e-05
      2.02500   0.00116481 -1.11039e-05
      2.03500   0.00116106 -1.10177e-05
      2.04500   0.00117465 -1.11834e-05
      2.05500   0.00117219 -1.11365e-05
      2.06500   0.00119065 -1.13163e-05
      2.07500   0.00120180 -1.14405e-05
      2.08500   0.00120080 -1.14466e-05
      2.09500   0.00119912 -1.14084e-05
      2.10500   0.00119965 -1.14132e-05
      2.11500   0.00120842 -1.15289e-05
      2.12500   0.00120905 -1.15284e-05
      2.13500   0.00121360 -1.16016e-05
      2.14500   0.00119756 -1.14002e-05
      2.15500   0.00122960 -1.17115e-05
      2.16500   0.00125106 -1.19142e-05
      2.17500   0.00128302 -1.22412e-05
      2.18500   0.00128266 -1.22568e-05
      2.19500   0.00130121 -1.23902e-05
      2.20500   0.00132765 -1.26883e-05
      2.21500   0.00134284 -1.28442e-05
      2.22500   0.00134610 -1.28153e-05
      2.23500   0.00136644 -1.30828e-05
      2.24500   0.00141539 -1.35961e-05
      2.25500   0.00143883 -1.37922e-05
      2.26500   0.00145102 -1.39385e-05
      2.27500   0.00144776 -1.39086e-05
      2.28500   0.00145329 -1.39336e-05
      2.29500   0.00142171 -1.35393e-05
      2.30500   0.00145783 -1.39719e-05
      2.31500   0.00147837 -1.42150e-05
      2.32500   0.00146486 -1.41069e-05
      2.33500   0.00144698 -1.38471e-05
      2.34500   0.00145978 -1.39910e-05
      2.35500   0.00146305 -1.40470e-05
      2.36500   0.00146461 -1.40599e-05
      2.37500   0.00148258 -1.42404e-05
      2.38600   0.00149307 -1.43453e-05
      2.40000   0.00152412 -1.46574e-05
