Darapskite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  Range of validity is given
as 5-17 micrometers
  wavelength  calc. ref.  real index  imag. index
 2.8554E+00  2.6169E-02  1.3841E+00   9.3740E-05
 2.8570E+00  2.6167E-02  1.3841E+00   9.3928E-05
 2.8586E+00  2.6165E-02  1.3841E+00   9.4117E-05
 2.8602E+00  2.6164E-02  1.3841E+00   9.4305E-05
 2.8617E+00  2.6162E-02  1.3840E+00   9.4495E-05
 2.8633E+00  2.6160E-02  1.3840E+00   9.4685E-05
 2.8649E+00  2.6158E-02  1.3840E+00   9.4876E-05
 2.8665E+00  2.6156E-02  1.3840E+00   9.5068E-05
 2.8681E+00  2.6154E-02  1.3840E+00   9.5259E-05
 2.8697E+00  2.6152E-02  1.3840E+00   9.5451E-05
 2.8712E+00  2.6150E-02  1.3839E+00   9.5643E-05
 2.8728E+00  2.6148E-02  1.3839E+00   9.5838E-05
 2.8744E+00  2.6146E-02  1.3839E+00   9.6031E-05
 2.8760E+00  2.6144E-02  1.3839E+00   9.6226E-05
 2.8776E+00  2.6142E-02  1.3839E+00   9.6421E-05
 2.8792E+00  2.6140E-02  1.3839E+00   9.6616E-05
 2.8808E+00  2.6138E-02  1.3838E+00   9.6813E-05
 2.8824E+00  2.6136E-02  1.3838E+00   9.7009E-05
 2.8840E+00  2.6134E-02  1.3838E+00   9.7206E-05
 2.8856E+00  2.6132E-02  1.3838E+00   9.7404E-05
 2.8872E+00  2.6130E-02  1.3838E+00   9.7603E-05
 2.8889E+00  2.6128E-02  1.3838E+00   9.7802E-05
 2.8905E+00  2.6126E-02  1.3837E+00   9.8001E-05
 2.8921E+00  2.6124E-02  1.3837E+00   9.8200E-05
 2.8937E+00  2.6122E-02  1.3837E+00   9.8401E-05
 2.8953E+00  2.6120E-02  1.3837E+00   9.8602E-05
 2.8969E+00  2.6118E-02  1.3837E+00   9.8804E-05
 2.8985E+00  2.6116E-02  1.3836E+00   9.9006E-05
 2.9002E+00  2.6114E-02  1.3836E+00   9.9210E-05
 2.9018E+00  2.6112E-02  1.3836E+00   9.9412E-05
 2.9034E+00  2.6110E-02  1.3836E+00   9.9617E-05
 2.9050E+00  2.6108E-02  1.3836E+00   9.9822E-05
 2.9067E+00  2.6106E-02  1.3836E+00   1.0003E-04
 2.9083E+00  2.6104E-02  1.3835E+00   1.0023E-04
 2.9099E+00  2.6102E-02  1.3835E+00   1.0044E-04
 2.9116E+00  2.6100E-02  1.3835E+00   1.0065E-04
