Fibroferrite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  From best fit oscillators
given in Table 5.
  wavelength  calc. ref.  real index  imag. index
 6.3007E+00  3.5830E-02  1.4640E+00   2.7219E-02
 6.3084E+00  3.5687E-02  1.4629E+00   2.6099E-02
 6.3160E+00  3.5546E-02  1.4619E+00   2.5060E-02
 6.3238E+00  3.5405E-02  1.4608E+00   2.4086E-02
 6.3315E+00  3.5265E-02  1.4597E+00   2.3177E-02
 6.3392E+00  3.5127E-02  1.4586E+00   2.2328E-02
 6.3470E+00  3.4989E-02  1.4576E+00   2.1535E-02
 6.3548E+00  3.4853E-02  1.4565E+00   2.0793E-02
 6.3625E+00  3.4720E-02  1.4555E+00   2.0103E-02
 6.3704E+00  3.4587E-02  1.4544E+00   1.9454E-02
 6.3782E+00  3.4455E-02  1.4534E+00   1.8846E-02
 6.3861E+00  3.4325E-02  1.4524E+00   1.8277E-02
 6.3939E+00  3.4197E-02  1.4513E+00   1.7744E-02
 6.4018E+00  3.4070E-02  1.4503E+00   1.7243E-02
 6.4098E+00  3.3944E-02  1.4493E+00   1.6774E-02
 6.4177E+00  3.3821E-02  1.4483E+00   1.6336E-02
 6.4256E+00  3.3698E-02  1.4474E+00   1.5922E-02
 6.4336E+00  3.3576E-02  1.4464E+00   1.5533E-02
 6.4416E+00  3.3456E-02  1.4454E+00   1.5168E-02
 6.4496E+00  3.3337E-02  1.4445E+00   1.4825E-02
 6.4577E+00  3.3219E-02  1.4435E+00   1.4503E-02
 6.4657E+00  3.3103E-02  1.4426E+00   1.4201E-02
 6.4737E+00  3.2987E-02  1.4416E+00   1.3916E-02
 6.4818E+00  3.2872E-02  1.4407E+00   1.3647E-02
 6.4900E+00  3.2758E-02  1.4398E+00   1.3395E-02
 6.4981E+00  3.2645E-02  1.4388E+00   1.3158E-02
 6.5063E+00  3.2533E-02  1.4379E+00   1.2935E-02
 6.5144E+00  3.2421E-02  1.4370E+00   1.2725E-02
 6.5226E+00  3.2311E-02  1.4361E+00   1.2529E-02
