From Marzo et al. (2004) Adv. Space Res., 33, 2246-2251
selenite
  Wavelength
  (microns)       n           k       Q/a theor   Q/a experim
  0.1787D+01  0.1396D+01  0.2381D-02  0.2283D+03  0.2397D+03
  0.1788D+01  0.1396D+01  0.2385D-02  0.2285D+03  0.2399D+03
  0.1790D+01  0.1396D+01  0.2389D-02  0.2287D+03  0.2396D+03
  0.1792D+01  0.1396D+01  0.2393D-02  0.2289D+03  0.2390D+03
  0.1793D+01  0.1396D+01  0.2398D-02  0.2291D+03  0.2393D+03
  0.1795D+01  0.1396D+01  0.2403D-02  0.2293D+03  0.2393D+03
  0.1797D+01  0.1396D+01  0.2408D-02  0.2295D+03  0.2388D+03
  0.1799D+01  0.1396D+01  0.2413D-02  0.2298D+03  0.2387D+03
  0.1800D+01  0.1396D+01  0.2418D-02  0.2301D+03  0.2371D+03
  0.1802D+01  0.1396D+01  0.2424D-02  0.2304D+03  0.2375D+03
  0.1804D+01  0.1395D+01  0.2430D-02  0.2307D+03  0.2367D+03
  0.1806D+01  0.1395D+01  0.2436D-02  0.2310D+03  0.2383D+03
  0.1807D+01  0.1395D+01  0.2442D-02  0.2314D+03  0.2384D+03
  0.1809D+01  0.1395D+01  0.2449D-02  0.2318D+03  0.2394D+03
  0.1811D+01  0.1395D+01  0.2456D-02  0.2322D+03  0.2383D+03
  0.1811D+01  0.1395D+01  0.2456D-02  0.2326D+03  0.2375D+03
  0.1812D+01  0.1395D+01  0.2463D-02  0.2330D+03  0.2397D+03
  0.1814D+01  0.1395D+01  0.2470D-02  0.2334D+03  0.2386D+03
  0.1816D+01  0.1395D+01  0.2478D-02  0.2339D+03  0.2376D+03
  0.1818D+01  0.1395D+01  0.2485D-02  0.2344D+03  0.2376D+03
  0.1819D+01  0.1395D+01  0.2493D-02  0.2349D+03  0.2359D+03
  0.1821D+01  0.1395D+01  0.2501D-02  0.2354D+03  0.2373D+03
  0.1823D+01  0.1395D+01  0.2510D-02  0.2359D+03  0.2377D+03
  0.1825D+01  0.1395D+01  0.2519D-02  0.2365D+03  0.2359D+03
  0.1827D+01  0.1395D+01  0.2527D-02  0.2371D+03  0.2370D+03
  0.1828D+01  0.1395D+01  0.2537D-02  0.2376D+03  0.2367D+03
  0.1830D+01  0.1395D+01  0.2546D-02  0.2383D+03  0.2364D+03
  0.1832D+01  0.1395D+01  0.2555D-02  0.2389D+03  0.2354D+03
  0.1834D+01  0.1395D+01  0.2565D-02  0.2395D+03  0.2389D+03
  0.1835D+01  0.1395D+01  0.2575D-02  0.2402D+03  0.2364D+03
  0.1837D+01  0.1395D+01  0.2586D-02  0.2408D+03  0.2344D+03
  0.1839D+01  0.1395D+01  0.2596D-02  0.2415D+03  0.2340D+03
  0.1839D+01  0.1395D+01  0.2596D-02  0.2422D+03  0.2342D+03
  0.1841D+01  0.1395D+01  0.2607D-02  0.2430D+03  0.2342D+03
  0.1843D+01  0.1395D+01  0.2618D-02  0.2437D+03  0.2379D+03
  0.1844D+01  0.1395D+01  0.2629D-02  0.2445D+03  0.2398D+03
  0.1846D+01  0.1395D+01  0.2640D-02  0.2452D+03  0.2338D+03
  0.1848D+01  0.1395D+01  0.2651D-02  0.2460D+03  0.2376D+03
  0.1850D+01  0.1395D+01  0.2663D-02  0.2468D+03  0.2410D+03
  0.1852D+01  0.1395D+01  0.2675D-02  0.2476D+03  0.2386D+03
  0.1853D+01  0.1395D+01  0.2687D-02  0.2485D+03  0.2376D+03
  0.1855D+01  0.1395D+01  0.2700D-02  0.2493D+03  0.2400D+03
  0.1857D+01  0.1395D+01  0.2712D-02  0.2502D+03  0.2403D+03
  0.1859D+01  0.1395D+01  0.2725D-02  0.2510D+03  0.2389D+03
  0.1861D+01  0.1395D+01  0.2738D-02  0.2519D+03  0.2421D+03
  0.1863D+01  0.1395D+01  0.2751D-02  0.2528D+03  0.2439D+03
  0.1864D+01  0.1395D+01  0.2764D-02  0.2537D+03  0.2423D+03
