From Roush 1995, Optical constants of amorphous carbon
in the mid-IR (2.5-25 mm, 4000-400 cm-1), Planet. Space
Sci., 43 (10/11), 1297-1301.

 wavelength  calculated     real      imaginary
  (microns) reflectance     index       index
 2.6994E+00  8.7720E-02  1.7334E+00   3.5853E-01
 2.7008E+00  8.7770E-02  1.7335E+00   3.5897E-01
 2.7022E+00  8.7821E-02  1.7336E+00   3.5941E-01
 2.7036E+00  8.7871E-02  1.7337E+00   3.5985E-01
 2.7050E+00  8.7922E-02  1.7338E+00   3.6029E-01
 2.7064E+00  8.7972E-02  1.7339E+00   3.6074E-01
 2.7078E+00  8.8024E-02  1.7340E+00   3.6118E-01
 2.7092E+00  8.8075E-02  1.7341E+00   3.6162E-01
 2.7106E+00  8.8127E-02  1.7342E+00   3.6207E-01
 2.7121E+00  8.8179E-02  1.7343E+00   3.6252E-01
 2.7135E+00  8.8231E-02  1.7344E+00   3.6296E-01
 2.7149E+00  8.8284E-02  1.7345E+00   3.6341E-01
 2.7163E+00  8.8336E-02  1.7346E+00   3.6385E-01
 2.7178E+00  8.8389E-02  1.7347E+00   3.6430E-01
 2.7192E+00  8.8442E-02  1.7348E+00   3.6475E-01
 2.7206E+00  8.8496E-02  1.7349E+00   3.6519E-01
 2.7220E+00  8.8549E-02  1.7350E+00   3.6564E-01
 2.7235E+00  8.8603E-02  1.7352E+00   3.6609E-01
 2.7249E+00  8.8657E-02  1.7353E+00   3.6654E-01
 2.7263E+00  8.8712E-02  1.7354E+00   3.6699E-01
 2.7278E+00  8.8766E-02  1.7355E+00   3.6743E-01
 2.7292E+00  8.8821E-02  1.7356E+00   3.6788E-01
 2.7306E+00  8.8876E-02  1.7357E+00   3.6833E-01
 2.7321E+00  8.8931E-02  1.7359E+00   3.6878E-01
 2.7335E+00  8.8987E-02  1.7360E+00   3.6923E-01
 2.7349E+00  8.9043E-02  1.7361E+00   3.6968E-01
 2.7364E+00  8.9099E-02  1.7362E+00   3.7013E-01
 2.7378E+00  8.9155E-02  1.7364E+00   3.7058E-01
 2.7393E+00  8.9212E-02  1.7365E+00   3.7103E-01
 2.7407E+00  8.9269E-02  1.7366E+00   3.7149E-01
 2.7422E+00  8.9326E-02  1.7368E+00   3.7193E-01
 2.7436E+00  8.9383E-02  1.7369E+00   3.7238E-01
 2.7451E+00  8.9441E-02  1.7370E+00   3.7284E-01
 2.7465E+00  8.9498E-02  1.7372E+00   3.7329E-01
 2.7480E+00  8.9556E-02  1.7373E+00   3.7374E-01
 2.7495E+00  8.9615E-02  1.7374E+00   3.7419E-01
 2.7509E+00  8.9673E-02  1.7376E+00   3.7464E-01
 2.7524E+00  8.9732E-02  1.7377E+00   3.7509E-01
 2.7538E+00  8.9791E-02  1.7379E+00   3.7555E-01
 2.7553E+00  8.9850E-02  1.7380E+00   3.7600E-01
 2.7568E+00  8.9910E-02  1.7382E+00   3.7645E-01
 2.7582E+00  8.9969E-02  1.7383E+00   3.7690E-01
 2.7597E+00  9.0029E-02  1.7385E+00   3.7736E-01
 2.7612E+00  9.0089E-02  1.7386E+00   3.7780E-01
 2.7626E+00  9.0150E-02  1.7388E+00   3.7826E-01
 2.7641E+00  9.0210E-02  1.7389E+00   3.7871E-01
 2.7656E+00  9.0271E-02  1.7391E+00   3.7916E-01
 2.7671E+00  9.0332E-02  1.7392E+00   3.7961E-01
 2.7685E+00  9.0393E-02  1.7394E+00   3.8007E-01
 2.7700E+00  9.0455E-02  1.7395E+00   3.8051E-01
 2.7715E+00  9.0517E-02  1.7397E+00   3.8097E-01
 2.7730E+00  9.0579E-02  1.7399E+00   3.8142E-01
